activity_id,opportunity_id,seller_id,activity_type,activity_ts,duration_minutes
ACT0000001,O000001,S011,Email,2025-06-30 10:20:00,0
ACT0000002,O000001,S011,Email,2025-06-25 11:08:00,0
ACT0000003,O000001,S011,Email,2025-06-24 17:45:00,0
ACT0000004,O000001,S011,Email,2025-06-28 18:49:00,0
ACT0000005,O000002,S038,Email,2024-10-05 16:44:00,0
ACT0000006,O000002,S038,Email,2024-10-23 13:25:00,0
ACT0000007,O000002,S038,Demo,2024-10-16 13:27:00,74
ACT0000008,O000002,S038,Email,2024-10-02 10:46:00,0
ACT0000009,O000002,S038,Call,2024-10-16 10:30:00,39
ACT0000010,O000002,S038,Email,2024-10-19 10:13:00,0
ACT0000011,O000002,S038,Meeting,2024-09-28 16:11:00,73
ACT0000012,O000002,S038,Call,2024-11-02 11:48:00,38
ACT0000013,O000003,S040,Call,2025-05-13 10:39:00,33
ACT0000014,O000003,S040,Meeting,2025-05-25 08:29:00,53
ACT0000015,O000003,S040,Email,2025-06-01 18:56:00,0
ACT0000016,O000003,S040,Call,2025-05-19 08:41:00,5
ACT0000017,O000003,S040,Meeting,2025-05-09 15:32:00,65
ACT0000018,O000004,S005,Call,2024-03-22 08:59:00,32
ACT0000019,O000004,S005,Email,2024-04-10 13:23:00,0
ACT0000020,O000004,S005,Email,2024-03-16 17:57:00,0
ACT0000021,O000004,S005,Email,2024-03-24 17:29:00,0
ACT0000022,O000005,S024,Email,2025-02-19 11:59:00,0
ACT0000023,O000005,S024,Email,2025-02-12 13:15:00,0
ACT0000024,O000005,S024,Call,2025-02-26 17:09:00,28
ACT0000025,O000005,S024,Call,2025-02-24 16:03:00,13
ACT0000026,O000005,S024,Email,2025-02-21 09:28:00,0
ACT0000027,O000005,S024,Email,2025-02-12 12:16:00,0
ACT0000028,O000005,S024,Call,2025-02-17 16:02:00,34
ACT0000029,O000005,S024,Call,2025-02-16 11:22:00,18
ACT0000030,O000005,S024,Email,2025-02-22 15:19:00,0
ACT0000031,O000006,S010,Email,2024-11-01 15:39:00,0
ACT0000032,O000006,S010,Meeting,2024-09-29 12:51:00,45
ACT0000033,O000006,S010,Call,2024-10-26 14:53:00,30
ACT0000034,O000006,S010,Email,2024-11-05 10:22:00,0
ACT0000035,O000006,S010,Call,2024-10-13 10:18:00,42
ACT0000036,O000006,S010,Meeting,2024-10-15 08:28:00,41
ACT0000037,O000006,S010,Email,2024-10-13 16:10:00,0
ACT0000038,O000006,S010,Email,2024-09-29 15:53:00,0
ACT0000039,O000006,S010,Email,2024-10-10 13:13:00,0
ACT0000040,O000006,S010,Meeting,2024-10-04 17:28:00,80
ACT0000041,O000006,S010,Call,2024-10-04 08:40:00,25
ACT0000042,O000007,S040,Call,2025-06-30 11:36:00,32
ACT0000043,O000007,S040,Call,2025-06-28 16:58:00,34
ACT0000044,O000007,S040,Call,2025-06-27 08:38:00,29
ACT0000045,O000008,S020,Meeting,2023-10-18 12:20:00,54
ACT0000046,O000008,S020,Email,2023-09-19 15:20:00,0
ACT0000047,O000008,S020,Email,2023-10-21 14:03:00,0
ACT0000048,O000008,S020,Email,2023-10-11 13:07:00,0
ACT0000049,O000008,S020,Call,2023-09-04 10:42:00,7
ACT0000050,O000008,S020,Email,2023-09-14 08:33:00,0
ACT0000051,O000009,S009,Call,2025-06-23 11:04:00,38
ACT0000052,O000010,S005,Call,2025-06-27 11:04:00,15
ACT0000053,O000010,S005,Call,2025-05-20 13:01:00,15
ACT0000054,O000011,S040,Call,2025-04-12 13:04:00,37
ACT0000055,O000011,S040,Email,2025-03-08 12:04:00,0
ACT0000056,O000011,S040,Email,2025-03-13 14:47:00,0
ACT0000057,O000011,S040,Email,2025-04-05 15:57:00,0
ACT0000058,O000011,S040,Email,2025-03-22 17:54:00,0
ACT0000059,O000011,S040,Meeting,2025-04-04 18:44:00,47
ACT0000060,O000011,S040,Email,2025-04-25 14:22:00,0
ACT0000061,O000011,S040,Meeting,2025-02-18 16:06:00,73
ACT0000062,O000011,S040,Email,2025-04-15 11:55:00,0
ACT0000063,O000011,S040,Call,2025-03-30 15:29:00,39
ACT0000064,O000012,S008,Meeting,2023-03-05 12:44:00,51
ACT0000065,O000012,S008,Meeting,2023-03-19 12:05:00,57
ACT0000066,O000012,S008,Email,2023-02-24 13:25:00,0
ACT0000067,O000012,S008,Call,2023-04-05 12:42:00,16
ACT0000068,O000013,S011,Email,2024-11-17 09:39:00,0
ACT0000069,O000013,S011,Meeting,2024-11-13 14:47:00,88
ACT0000070,O000013,S011,Demo,2024-11-21 12:25:00,86
ACT0000071,O000013,S011,Email,2024-11-01 08:43:00,0
ACT0000072,O000013,S011,Meeting,2024-10-23 17:47:00,38
ACT0000073,O000013,S011,Call,2024-12-07 08:24:00,5
ACT0000074,O000014,S012,Call,2023-07-17 15:25:00,19
ACT0000075,O000014,S012,Email,2023-07-20 10:43:00,0
ACT0000076,O000014,S012,Call,2023-07-12 15:25:00,16
ACT0000077,O000014,S012,Email,2023-07-12 16:56:00,0
ACT0000078,O000014,S012,Demo,2023-07-16 15:16:00,102
ACT0000079,O000014,S012,Meeting,2023-07-18 12:31:00,56
ACT0000080,O000014,S012,Call,2023-07-14 16:22:00,22
ACT0000081,O000014,S012,Email,2023-07-17 14:37:00,0
ACT0000082,O000015,S040,Email,2024-06-23 10:04:00,0
ACT0000083,O000015,S040,Email,2024-08-16 12:20:00,0
ACT0000084,O000015,S040,Call,2024-07-09 09:01:00,10
ACT0000085,O000015,S040,Call,2024-06-10 13:26:00,8
ACT0000086,O000015,S040,Call,2024-06-13 18:37:00,16
ACT0000087,O000015,S040,Call,2024-06-26 18:59:00,22
ACT0000088,O000015,S040,Call,2024-08-19 09:32:00,24
ACT0000089,O000015,S040,Meeting,2024-07-04 10:31:00,80
ACT0000090,O000016,S031,Demo,2025-03-15 17:35:00,95
ACT0000091,O000016,S031,Email,2025-03-15 10:10:00,0
ACT0000092,O000016,S031,Email,2025-03-18 15:45:00,0
ACT0000093,O000016,S031,Meeting,2025-03-12 17:02:00,44
ACT0000094,O000016,S031,Email,2025-03-12 09:41:00,0
ACT0000095,O000016,S031,Call,2025-03-15 12:07:00,21
ACT0000096,O000017,S016,Demo,2024-06-28 10:40:00,81
ACT0000097,O000017,S016,Call,2024-09-02 09:30:00,44
ACT0000098,O000017,S016,Email,2024-06-29 15:37:00,0
ACT0000099,O000017,S016,Email,2024-07-10 17:54:00,0
ACT0000100,O000017,S016,Call,2024-04-06 14:16:00,24
ACT0000101,O000017,S016,Email,2024-08-23 18:19:00,0
ACT0000102,O000017,S016,Demo,2024-09-03 12:54:00,78
ACT0000103,O000018,S005,Email,2025-02-22 08:36:00,0
ACT0000104,O000018,S005,Meeting,2025-04-01 16:14:00,53
ACT0000105,O000018,S005,Email,2025-02-28 09:46:00,0
ACT0000106,O000018,S005,Call,2025-03-19 18:16:00,42
ACT0000107,O000018,S005,Call,2025-03-01 13:47:00,5
ACT0000108,O000018,S005,Email,2025-03-06 12:44:00,0
ACT0000109,O000018,S005,Call,2025-03-12 10:59:00,12
ACT0000110,O000018,S005,Call,2025-02-24 10:04:00,41
ACT0000111,O000018,S005,Email,2025-03-28 16:43:00,0
ACT0000112,O000019,S010,Call,2025-02-19 10:53:00,19
ACT0000113,O000019,S010,Email,2025-02-19 09:52:00,0
ACT0000114,O000019,S010,Email,2025-02-22 16:43:00,0
ACT0000115,O000019,S010,Demo,2025-02-19 17:47:00,105
ACT0000116,O000019,S010,Email,2025-02-12 16:50:00,0
ACT0000117,O000019,S010,Call,2025-02-13 16:09:00,5
ACT0000118,O000019,S010,Call,2025-02-11 12:55:00,38
ACT0000119,O000019,S010,Email,2025-02-23 11:14:00,0
ACT0000120,O000019,S010,Meeting,2025-02-18 13:27:00,44
ACT0000121,O000020,S008,Email,2024-11-03 15:07:00,0
ACT0000122,O000020,S008,Call,2024-10-28 10:24:00,29
ACT0000123,O000020,S008,Meeting,2024-10-24 13:29:00,73
ACT0000124,O000020,S008,Meeting,2024-10-24 15:34:00,34
ACT0000125,O000020,S008,Email,2024-10-07 13:52:00,0
ACT0000126,O000020,S008,Meeting,2024-10-30 17:00:00,65
ACT0000127,O000020,S008,Call,2024-10-06 15:39:00,7
ACT0000128,O000021,S011,Call,2024-05-22 12:25:00,26
ACT0000129,O000021,S011,Email,2023-01-11 18:19:00,0
ACT0000130,O000021,S011,Email,2024-04-27 12:59:00,0
ACT0000131,O000021,S011,Call,2024-05-18 10:38:00,6
ACT0000132,O000021,S011,Call,2024-04-20 16:58:00,27
ACT0000133,O000021,S011,Call,2024-05-18 09:19:00,21
ACT0000134,O000022,S012,Demo,2024-11-21 08:52:00,55
ACT0000135,O000022,S012,Email,2025-01-02 10:27:00,0
ACT0000136,O000022,S012,Call,2025-01-24 16:31:00,27
ACT0000137,O000022,S012,Email,2025-02-20 13:35:00,0
ACT0000138,O000022,S012,Email,2024-11-01 11:32:00,0
ACT0000139,O000022,S012,Call,2025-01-04 11:16:00,7
ACT0000140,O000022,S012,Meeting,2025-01-14 14:18:00,83
ACT0000141,O000022,S012,Demo,2025-01-02 12:13:00,85
ACT0000142,O000023,S019,Email,2024-08-16 15:01:00,0
ACT0000143,O000023,S019,Call,2024-08-06 13:59:00,21
ACT0000144,O000023,S019,Meeting,2024-08-07 14:20:00,78
ACT0000145,O000023,S019,Email,2024-08-15 16:41:00,0
ACT0000146,O000024,S012,Demo,2023-09-01 17:14:00,86
ACT0000147,O000024,S012,Demo,2023-08-10 13:50:00,85
ACT0000148,O000024,S012,Call,2023-08-24 09:17:00,9
ACT0000149,O000024,S012,Call,2023-08-30 12:15:00,42
ACT0000150,O000025,S025,Email,2023-09-05 17:48:00,0
ACT0000151,O000025,S025,Email,2023-09-14 16:11:00,0
ACT0000152,O000025,S025,Email,2023-12-21 14:31:00,0
ACT0000153,O000025,S025,Email,2023-10-16 17:27:00,0
ACT0000154,O000025,S025,Call,2024-01-02 12:34:00,21
ACT0000155,O000025,S025,Email,2023-11-06 16:17:00,0
ACT0000156,O000025,S025,Call,2023-08-24 11:56:00,11
ACT0000157,O000025,S025,Call,2023-08-05 09:50:00,5
ACT0000158,O000025,S025,Email,2023-10-09 12:48:00,0
ACT0000159,O000025,S025,Call,2023-11-05 14:03:00,11
ACT0000160,O000026,S028,Email,2023-08-08 08:27:00,0
ACT0000161,O000026,S028,Email,2023-08-13 14:31:00,0
ACT0000162,O000026,S028,Call,2023-08-20 15:38:00,33
