opportunity_id,opportunity_name,account_id,seller_id,product,lead_source,stage,probability,amount,currency,created_date,expected_close_date,actual_close_date,last_modified_ts
O001287,North Motors GmbH - Cloud Suite,A0352,S034,Cloud Suite,Referral,Closed Lost,0.0,15800.0,USD,2023-11-13,2024-03-04,2024-01-06,2024-01-06 13:00:00
O000643,Vertex Clinics S.A. - Collaboration Tools,A0117,S004,Collaboration Tools,Partner,Closed Lost,0.0,6800.0,USD,2025-05-29,2025-08-20,2025-06-17,2025-06-17 13:25:00
O001147,Lumen Consulting S.A. - Cloud Suite,A0050,S012,Cloud Suite,Inbound,Closed Lost,0.0,12200.0,USD,2024-04-17,2024-08-19,2024-06-25,2024-06-25 12:43:00
O001279,Blue Retail Inc. - Support Plan,A0183,S016,Support Plan,Outbound,Closed Won,1.0,8100.0,USD,2024-01-17,2024-05-10,2024-04-13,2024-04-13 17:54:00
O001940,Summit Consulting Holdings - Analytics Platform,A0080,S014,Analytics Platform,Outbound,Closed Lost,0.0,48000.0,USD,2024-10-31,2025-02-07,2024-12-19,2024-12-19 08:28:00
O000536,Silver Health Holdings - Analytics Platform,A0479,S019,Analytics Platform,Referral,Closed Won,1.0,25100.0,USD,2024-12-06,2025-03-10,2025-03-01,2025-03-01 09:49:00
O002116,Summit Consulting Holdings - Cloud Suite,A0080,S014,Cloud Suite,Partner,Closed Lost,0.0,42200.0,USD,2025-05-01,2025-08-19,2025-06-01,2025-06-01 11:10:00
O002092,Zenith Studios LLC - Support Plan,A0448,S038,Support Plan,Outbound,Closed Lost,0.0,14000.0,USD,2024-06-04,2024-07-19,2024-10-03,2024-10-03 16:29:00
O000255,Pioneer Labs Inc. 481 - Collaboration Tools,A0482,S037,Collaboration Tools,Outbound,Closed Lost,0.0,9300.0,USD,2024-12-23,2025-03-22,2025-03-01,2025-03-01 14:53:00
O001430,Sahara Health Ltd - Cloud Suite,A0149,S006,Cloud Suite,Outbound,Closed Lost,0.0,37700.0,USD,2024-07-28,2024-09-24,2025-02-21,2025-02-21 08:29:00
O001980,Zenith Media Co. - Cloud Suite,A0456,S015,Cloud Suite,Partner,Closed Lost,0.0,32400.0,USD,2023-10-12,2023-11-29,2024-01-04,2024-01-04 16:08:00
O002473,Orbit Pharma Inc. - Collaboration Tools,A0027,S016,Collaboration Tools,Partner,Closed Lost,0.0,14200.0,USD,2023-12-30,2024-02-29,2024-04-30,2024-04-30 16:32:00
O002707,Atlas Health Inc. - Security Bundle,A0425,S002,Security Bundle,Event,Closed Lost,0.0,20800.0,USD,2024-01-06,2024-04-01,2024-03-05,2024-03-05 11:07:00
O000064,Pioneer Consulting LLC - Analytics Platform,A0158,S008,Analytics Platform,Referral,Closed Won,1.0,32800.0,USD,2025-02-14,2025-06-03,2025-05-22,2025-05-22 10:50:00
O000451,Lumen Capital Holdings - Cloud Suite,A0042,S034,Cloud Suite,Outbound,Closed Lost,0.0,11500.0,USD,2024-03-15,2024-06-10,2024-06-07,2024-06-07 11:10:00
O001038,Granite Systems LLC - Support Plan,A0161,S024,Support Plan,Referral,Closed Lost,0.0,14200.0,USD,2024-03-22,2024-05-27,2024-06-11,2024-06-11 08:47:00
