history_id,opportunity_id,from_stage,to_stage,changed_at,changed_by_seller_id
H0000001,O000001,,Prospecting,2025-06-24 09:00:00,S011
H0000002,O000002,,Prospecting,2024-09-11 09:00:00,S038
H0000003,O000002,Prospecting,Qualification,2024-10-31 16:00:00,S038
H0000004,O000002,Qualification,Closed Lost,2024-11-09 10:00:00,S038
H0000005,O000003,,Prospecting,2025-05-07 09:00:00,S040
H0000006,O000003,Prospecting,Qualification,2025-05-11 12:00:00,S040
H0000007,O000003,Qualification,Proposal,2025-05-24 11:00:00,S040
H0000008,O000003,Proposal,Negotiation,2025-06-12 16:00:00,S040
H0000009,O000003,Negotiation,Closed Lost,2025-06-13 11:00:00,S040
H0000010,O000004,,Prospecting,2024-03-06 09:00:00,S005
H0000011,O000004,Prospecting,Qualification,2024-04-14 12:00:00,S005
H0000012,O000004,Qualification,Proposal,2024-04-17 10:00:00,S005
H0000013,O000004,Proposal,Negotiation,2024-05-31 15:00:00,S005
H0000014,O000004,Negotiation,Closed Won,2024-06-02 17:00:00,S005
H0000015,O000005,,Prospecting,2025-02-10 09:00:00,S024
H0000016,O000005,Prospecting,Qualification,2025-02-15 09:00:00,S024
H0000017,O000005,Qualification,Proposal,2025-02-21 08:00:00,S024
H0000018,O000005,Proposal,Negotiation,2025-02-26 14:00:00,S024
H0000019,O000005,Negotiation,Closed Lost,2025-02-27 17:00:00,S024
H0000020,O000006,,Prospecting,2024-09-28 09:00:00,S010
H0000021,O000006,Prospecting,Closed Lost,2024-11-07 14:00:00,S010
H0000022,O000007,,Prospecting,2025-06-20 09:00:00,S040
H0000023,O000008,,Prospecting,2023-08-22 09:00:00,S020
H0000024,O000008,Prospecting,Qualification,2023-08-22 17:00:00,S020
H0000025,O000008,Qualification,Proposal,2023-09-08 14:00:00,S020
H0000026,O000008,Proposal,Negotiation,2023-10-17 10:00:00,S020
H0000027,O000008,Negotiation,Closed Won,2023-10-22 17:00:00,S020
H0000028,O000009,,Prospecting,2025-05-29 09:00:00,S009
H0000029,O000009,Prospecting,Qualification,2025-06-20 10:00:00,S009
H0000030,O000010,,Prospecting,2025-05-12 09:00:00,S005
H0000031,O000010,Prospecting,Qualification,2025-05-15 10:00:00,S005
H0000032,O000010,Qualification,Proposal,2025-06-11 12:00:00,S005
H0000033,O000010,Proposal,Negotiation,2025-06-20 09:00:00,S005
H0000034,O000011,,Prospecting,2025-02-12 09:00:00,S040
H0000035,O000011,Prospecting,Qualification,2025-03-10 08:00:00,S040
H0000036,O000011,Qualification,Closed Lost,2025-04-27 12:00:00,S040
H0000037,O000012,,Prospecting,2023-02-19 09:00:00,S008
H0000038,O000012,Prospecting,Qualification,2023-03-19 12:00:00,S008
H0000039,O000012,Qualification,Closed Lost,2023-04-11 10:00:00,S008
H0000040,O000013,,Prospecting,2024-10-08 09:00:00,S011
H0000041,O000013,Prospecting,Qualification,2024-10-20 14:00:00,S011
H0000042,O000013,Qualification,Proposal,2024-11-26 12:00:00,S011
H0000043,O000013,Proposal,Negotiation,2024-12-01 15:00:00,S011
H0000044,O000013,Negotiation,Closed Won,2024-12-07 15:00:00,S011
H0000045,O000014,,Prospecting,2023-07-12 09:00:00,S012
H0000046,O000014,Prospecting,Qualification,2023-07-17 10:00:00,S012
H0000047,O000014,Qualification,Proposal,2023-07-20 12:00:00,S012
H0000048,O000014,Proposal,Negotiation,2023-07-27 10:00:00,S012
H0000049,O000014,Negotiation,Closed Lost,2023-07-28 16:00:00,S012
H0000050,O000015,,Prospecting,2024-06-04 09:00:00,S040
H0000051,O000015,Prospecting,Qualification,2024-07-18 16:00:00,S040
H0000052,O000015,Qualification,Closed Lost,2024-09-12 14:00:00,S040
H0000053,O000016,,Prospecting,2025-03-12 09:00:00,S031
H0000054,O000016,Prospecting,Qualification,2025-03-14 17:00:00,S031
H0000055,O000016,Qualification,Proposal,2025-03-16 13:00:00,S031
H0000056,O000016,Proposal,Negotiation,2025-03-18 08:00:00,S031
H0000057,O000016,Negotiation,Closed Lost,2025-03-19 16:00:00,S031
H0000058,O000017,,Prospecting,2024-03-15 09:00:00,S016
H0000059,O000017,Prospecting,Qualification,2024-04-05 08:00:00,S016
H0000060,O000017,Qualification,Proposal,2024-09-08 09:00:00,S016
H0000061,O000017,Proposal,Negotiation,2024-09-20 12:00:00,S016
H0000062,O000017,Negotiation,Closed Won,2024-10-19 16:00:00,S016
H0000063,O000018,,Prospecting,2025-02-14 09:00:00,S005
H0000064,O000018,Prospecting,Closed Lost,2025-04-04 15:00:00,S005
H0000065,O000019,,Prospecting,2025-02-08 09:00:00,S010
H0000066,O000019,Prospecting,Qualification,2025-02-22 15:00:00,S010
H0000067,O000019,Qualification,Closed Lost,2025-02-24 09:00:00,S010
H0000068,O000020,,Prospecting,2024-09-28 09:00:00,S008
H0000069,O000020,Prospecting,Qualification,2024-10-11 12:00:00,S008
H0000070,O000020,Qualification,Proposal,2024-10-21 14:00:00,S008
H0000071,O000020,Proposal,Closed Lost,2024-11-07 14:00:00,S008
H0000072,O000021,,Prospecting,2024-04-05 09:00:00,S011
H0000073,O000021,Prospecting,Qualification,2024-04-24 10:00:00,S011
H0000074,O000021,Qualification,Closed Lost,2024-06-20 13:00:00,S011
H0000075,O000022,,Prospecting,2024-10-31 09:00:00,S012
H0000076,O000022,Prospecting,Closed Lost,2025-02-21 17:00:00,S012
H0000077,O000023,,Prospecting,2024-07-26 09:00:00,S019
H0000078,O000023,Prospecting,Qualification,2024-08-12 14:00:00,S019
H0000079,O000023,Qualification,Proposal,2024-08-28 11:00:00,S019
H0000080,O000023,Proposal,Closed Lost,2024-09-01 17:00:00,S019
H0000081,O000024,,Prospecting,2023-07-18 09:00:00,S012
H0000082,O000024,Prospecting,Qualification,2023-08-04 15:00:00,S012
H0000083,O000024,Qualification,Proposal,2023-08-08 13:00:00,S012
H0000084,O000024,Proposal,Closed Lost,2023-09-04 17:00:00,S012
H0000085,O000025,,Prospecting,2023-07-22 09:00:00,S025
H0000086,O000025,Prospecting,Qualification,2023-09-30 09:00:00,S025
H0000087,O000025,Qualification,Proposal,2023-12-11 17:00:00,S025
H0000088,O000025,Proposal,Negotiation,2024-01-01 17:00:00,S025
H0000089,O000025,Negotiation,Closed Won,2024-01-09 11:00:00,S025
H0000090,O000026,,Prospecting,2023-08-02 09:00:00,S028
H0000091,O000026,Prospecting,Qualification,2023-08-04 16:00:00,S028
H0000092,O000026,Qualification,Proposal,2023-08-16 16:00:00,S028
H0000093,O000026,Proposal,Negotiation,2023-08-23 15:00:00,S028
H0000094,O000026,Negotiation,Closed Won,2023-08-30 10:00:00,S028
H0000095,O000027,,Prospecting,2024-11-12 09:00:00,S005
H0000096,O000027,Prospecting,Qualification,2024-12-22 10:00:00,S005
H0000097,O000027,Qualification,Proposal,2025-01-02 10:00:00,S005
H0000098,O000027,Proposal,Negotiation,2025-01-30 11:00:00,S005
H0000099,O000027,Negotiation,Closed Won,2025-02-27 13:00:00,S005
H0000100,O000028,,Prospecting,2025-04-21 09:00:00,S028
H0000101,O000028,Prospecting,Qualification,2025-04-24 13:00:00,S028
H0000102,O000028,Qualification,Proposal,2025-05-09 16:00:00,S028
H0000103,O000029,,Prospecting,2023-01-30 09:00:00,S039
H0000104,O000029,Prospecting,Qualification,2023-01-31 10:00:00,S039
H0000105,O000029,Qualification,Closed Lost,2023-02-06 09:00:00,S039
H0000106,O000030,,Prospecting,2024-10-24 09:00:00,S003
H0000107,O000030,Prospecting,Qualification,2024-11-08 08:00:00,S003
H0000108,O000030,Qualification,Proposal,2024-11-22 14:00:00,S003
